timestamp,Analog Input #1,Analog Input #2,Analog Input #4,Analog Input #6,Frequency 3,Driven Avg Wheel Speed,RPM,TPS,Fuel Open Time,Ignition Angle,Driven Wheel Speed #1,MAP,Lambda,Battery Volt,Air Temp,Coolant Temp
1721153579.768,1.52,2.05,0.52,,,,,,,,,,,,,
1721153579.77799,1.52,2.05,0.52,0.71,,,,,,,,,,,,
1721153579.78801,1.52,2.05,0.52,0.71,0.0,,,,,,,,,,,
1721153579.7886,1.52,2.05,0.52,0.71,0.0,0.0,,,,,,,,,,
1721153579.798,1.52,2.05,0.52,0.71,0.0,0.0,2048.0,2.0,1.76,8.6,,,,,,
1721153579.79858,1.52,2.05,0.52,0.71,0.0,0.0,2048.0,2.0,1.76,8.6,0.0,,,,,
1721153579.80798,1.52,2.05,0.52,0.71,0.0,0.0,2048.0,2.0,1.76,8.6,0.0,12.85,0.96,,,
1721153579.84798,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.85,0.96,,,
1721153579.85798,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.59,0.96,,,
1721153579.86797,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.59,0.96,,,
1721153579.87797,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.59,0.96,,,
1721153579.88799,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.59,0.96,,,
1721153579.88858,1.52,2.05,0.52,0.71,0.0,0.0,2025.0,1.9,1.77,8.6,0.0,12.59,0.96,,,
1721153579.89797,1.52,2.05,0.52,0.71,0.0,0.0,1960.0,1.9,1.76,8.6,0.0,12.59,0.96,,,
1721153579.89855,1.52,2.05,0.52,0.71,0.0,0.0,1960.0,1.9,1.76,8.6,0.0,12.59,0.96,,,
1721153579.90798,1.52,2.05,0.52,0.71,0.0,0.0,1960.0,1.9,1.76,8.6,0.0,12.52,0.96,,,
1721153579.94798,1.52,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.52,0.96,,,
1721153579.95798,1.52,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.96798,1.53,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.97798,1.53,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.98799,1.53,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.98857,1.53,2.05,0.52,0.71,0.0,0.0,1952.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.99798,1.53,2.05,0.52,0.71,0.0,0.0,1961.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153579.99855,1.53,2.05,0.52,0.71,0.0,0.0,1961.0,1.9,1.76,9.7,0.0,12.63,0.96,,,
1721153580.00799,1.53,2.05,0.52,0.71,0.0,0.0,1961.0,1.9,1.76,9.7,0.0,12.76,0.96,,,
1721153580.04799,1.53,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.76,0.96,,,
1721153580.05798,1.53,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.79,0.96,,,
1721153580.06797,1.56,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.79,0.96,,,
1721153580.07799,1.56,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.79,0.96,,,
1721153580.08799,1.56,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.79,0.96,,,
1721153580.08857,1.56,2.05,0.52,0.71,0.0,0.0,1970.0,2.0,1.76,9.7,0.0,12.79,0.96,,,
1721153580.09797,1.56,2.05,0.52,0.71,0.0,0.0,2037.0,1.9,1.77,6.7,0.0,12.79,0.96,,,
1721153580.09854,1.56,2.05,0.52,0.71,0.0,0.0,2037.0,1.9,1.77,6.7,0.0,12.79,0.96,,,
1721153580.10797,1.56,2.05,0.52,0.71,0.0,0.0,2037.0,1.9,1.77,6.7,0.0,12.56,0.96,,,
1721153580.11798,1.56,2.05,0.52,0.71,0.0,0.0,2037.0,1.9,1.77,6.7,0.0,12.56,0.96,14.2,107.8,190.6
1721153580.14797,1.56,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.56,0.96,14.2,107.8,190.6
1721153580.15797,1.56,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.16797,1.52,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.17798,1.52,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.18799,1.52,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.18857,1.52,2.05,0.52,0.71,0.0,0.0,2010.0,1.9,1.76,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.19797,1.52,2.05,0.52,0.71,0.0,0.0,1941.0,1.9,1.77,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.19854,1.52,2.05,0.52,0.71,0.0,0.0,1941.0,1.9,1.77,6.7,0.0,12.73,0.96,14.2,107.8,190.6
1721153580.20797,1.52,2.05,0.52,0.71,0.0,0.0,1941.0,1.9,1.77,6.7,0.0,12.56,0.96,14.2,107.8,190.6
1721153580.24798,1.52,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.56,0.96,14.2,107.8,190.6
1721153580.25797,1.52,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.26795,1.57,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.27796,1.57,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.28798,1.57,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.28856,1.57,2.05,0.52,0.71,0.0,0.0,2043.0,2.0,1.77,6.7,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.29796,1.57,2.05,0.52,0.71,0.0,0.0,2013.0,2.0,1.77,7.0,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.29854,1.57,2.05,0.52,0.71,0.0,0.0,2013.0,2.0,1.77,7.0,0.0,12.64,0.96,14.2,107.8,190.6
1721153580.30797,1.57,2.05,0.52,0.71,0.0,0.0,2013.0,2.0,1.77,7.0,0.0,12.77,0.96,14.2,107.8,190.6
1721153580.34797,1.57,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.77,0.96,14.2,107.8,190.6
1721153580.35796,1.57,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.36797,1.5,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.37796,1.5,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.388,1.5,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.38856,1.5,2.05,0.52,0.71,0.0,0.0,2011.0,2.0,1.77,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.39796,1.5,2.05,0.52,0.71,0.0,0.0,1905.0,2.0,1.76,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.39853,1.5,2.05,0.52,0.71,0.0,0.0,1905.0,2.0,1.76,7.0,0.0,12.72,0.96,14.2,107.8,190.6
1721153580.40799,1.5,2.05,0.52,0.71,0.0,0.0,1905.0,2.0,1.76,7.0,0.0,12.49,0.96,14.2,107.8,190.6
1721153580.44796,1.5,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.49,0.96,14.2,107.8,190.6
1721153580.45795,1.5,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.46797,1.53,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.47796,1.53,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.48798,1.53,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.48855,1.53,2.05,0.52,0.71,0.0,0.0,1988.0,1.9,1.77,7.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.49794,1.53,2.05,0.52,0.71,0.0,0.0,2017.0,1.9,1.77,9.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.49852,1.53,2.05,0.52,0.71,0.0,0.0,2017.0,1.9,1.77,9.0,0.0,12.85,0.96,14.2,107.8,190.6
1721153580.50795,1.53,2.05,0.52,0.71,0.0,0.0,2017.0,1.9,1.77,9.0,0.0,12.67,0.96,14.2,107.8,190.6
1721153580.54795,1.53,2.05,0.52,0.71,0.0,0.0,2004.0,2.0,1.77,9.0,0.0,12.67,0.96,14.2,107.8,190.6
